ime,priimek,email,geslo,admin
Špela,Novak,špela.novak0@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Teja,Turk,teja.turk1@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Marko,Horvat,marko.horvat2@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Lea,Kern,lea.kern3@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Rok,Repič,rok.repič4@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Matic,Božič,matic.božič5@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Petra,Petek,petra.petek6@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Rok,Cotman,rok.cotman7@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Tilen,Kos,tilen.kos8@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Žan,Dolenc,žan.dolenc9@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Luka,Gregorič,luka.gregorič10@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Miha,Božič,miha.božič11@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Tina,Jenko,tina.jenko12@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Miha,Dolenc,miha.dolenc13@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Maja,Žagar,maja.žagar14@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
Aljaž,Bergant,aljaž.bergant15@example.com,$2b$12$vPGI1CdSAybcI894Hy7RTup4X5YTMdwXACvOZq4Kms6pWRgVUUNMi,0
